old_url,native_url,match_via,nid,source_file,status,notes
/node/1547,/women-and-stalinism-newspaper-womens-equality/,node,1547,sources/women-and-stalinism-newspaper-womens-equality.md,matched,
/node/1548,/women-and-stalinism-newspaper-womens-roles/,node,1548,sources/women-and-stalinism-newspaper-womens-roles.md,matched,
/node/1549,/women-and-stalinism-quantitative-evidence-womens-employment/,node,1549,sources/women-and-stalinism-quantitative-evidence-womens-employment.md,matched,
/node/155,/chinese-children-tjap-go-meh-festival-makassar/,node,155,sources/chinese-children-tjap-go-meh-festival-makassar.md,matched,
/node/1550,/women-and-stalinism-quantitative-evidence-womens-education/,node,1550,sources/women-and-stalinism-quantitative-evidence-womens-education.md,matched,
/node/1551,/women-and-stalinism-newspaper-womens-work/,node,1551,sources/women-and-stalinism-newspaper-womens-work.md,matched,
/node/1552,/women-and-stalinism-newspaper-women-workers/,node,1552,sources/women-and-stalinism-newspaper-women-workers.md,matched,
/node/1553,/kersaint-discussion-troubles-colonies-28-march-1792/,node,1553,sources/kersaint-discussion-troubles-colonies-28-march-1792.md,matched,
/node/1554,/toussaint-louverture-historical-account-black-empire-hayti/,node,1554,sources/toussaint-louverture-historical-account-black-empire-hayti.md,matched,
/node/1555,/french-return-historical-account-black-empire-hayti/,node,1555,sources/french-return-historical-account-black-empire-hayti.md,matched,
/node/1556,/pennsylvania-gazette-magnitude-insurrection-12-october-1791/,node,1556,sources/pennsylvania-gazette-magnitude-insurrection-12-october-1791.md,matched,
/node/1557,/pennsylvania-gazette-blame-now-falls-16-may-1792/,node,1557,sources/pennsylvania-gazette-blame-now-falls-16-may-1792.md,matched,
/node/1558,/pennsylvania-gazette-white-refugees-17-july-1793/,node,1558,sources/pennsylvania-gazette-white-refugees-17-july-1793.md,matched,
/node/1559,/pennsylvania-gazette-free-blacks-and-mulattos-flee-4-december-1793/,node,1559,sources/pennsylvania-gazette-free-blacks-and-mulattos-flee-4-december-1793.md,matched,
/node/156,/indus-valley-climbing-monkey-toy/,node,156,sources/indus-valley-climbing-monkey-toy.md,matched,
